domain,domain_rank,prospect_type,competitors_linked,competitors_list,example_url_from,example_page_title,linked_competitor_url,anchor,dofollow,spam_score,best_fit_asset,outreach_angle,priority
au.lifestyle.yahoo.com,756,news/media citation,1,fairworkmate.com.au,https://au.lifestyle.yahoo.com/aussie-expats-realisation-after-leaving-the-most-gorgeous-city-in-the-world-230000237.html,Aussie expat's realisation after leaving the 'most gorgeous city in the world' - Yahoo Lifestyle Australia,https://fairworkmate.com.au/tools/pay-rates/hospitality,Fair Work Mate.,no,0,/australian-pay-report-2026/,"Journalist/editor cites pay data; pitch the Australian Pay Report 2026 tables (citable, CSV, cite-this box)",A
iheart.com,618,news/media citation,1,paycalculator.com.au,https://www.iheart.com/podcast/263-more-than-money-29364997/episode/ep-47-how-to-manage-92936815/,EP 47 - How to Manage Your Money and Start Saving - More Than Money | iHeart,https://paycalculator.com.au/,https://paycalculator.com.au/,yes,0,/australian-pay-report-2026/,Money podcast show notes; offer data points + calculator for future episodes,A
abc.net.au,573,news/media citation,1,paycalculator.com.au,https://www.abc.net.au/news/2020-02-20/understanding-your-payslip/11923748,Understanding your payslip - ABC News,https://www.paycalculator.com.au/,the pay calculator,yes,0,/understanding-your-payslip/,ABC payslip explainer links a pay calculator; offer our payslip explainer + 2026-27 report data,A
ww3.rics.org,513,union/association/community,1,paycalculator.com.au,https://ww3.rics.org/uk/en/journals/built-environment-journal/what-does-a-building-surveyor-do-in-australia-.html,What does a building surveyor do in Australia? | Journals | RICS,https://www.paycalculator.com.au/,pay calculator,yes,0,/construction-trades-pay/,RICS journal on building surveyors in AU cites pay calculator; pitch construction trades pay + report,A
latrobe.edu.au,470,university/TAFE careers page,1,paycalculator.com.au,https://www.latrobe.edu.au/students/support/wellbeing/resource-hub/financial/awareness,"Financial awareness, Help and Support, Wellbeing Services, Wellbeing Resource Hub, Financial health resources, La Trobe University",https://www.paycalculator.com.au/,Pay Calculator,yes,20,/embed/,Student wellbeing financial resource hub lists Pay Calculator; offer embeddable take-home widget + first-job guide,A
morningstar.com.au,460,news/media citation,1,paycalculator.com.au,https://www.morningstar.com.au/retirement/4-steps-to-calculate-how-much-you-need-to-retire,4 steps to calculate how much you need to retire,https://paycalculator.com.au/,paycalculator.com.au,no,5,/australian-pay-report-2026/,"Journalist/editor cites pay data; pitch the Australian Pay Report 2026 tables (citable, CSV, cite-this box)",A
raizinvest.com.au,418,finance/accounting blog,1,paycalculator.com.au,https://raizinvest.com.au/blog/navigating-cost-of-living-pressures-with-raiz/,Navigating cost of living pressures with Raiz - Raiz Invest,https://paycalculator.com.au/,New Tax and Super calculator,yes,0,/australian-pay-report-2026/,Article links a pay calculator in context; suggest /australian-pay-report-2026/ as an up-to-date 2026-27 alternative/additional source,A
raskmedia.com.au,411,news/media citation,1,paycalculator.com.au,https://www.raskmedia.com.au/2024/06/07/childcare-payments-parental-leave-2024/,Childcare payments & parental leave: here's what you need to know | Rask Media,https://paycalculator.com.au/,pay calculator,yes,0,/parental-leave-pay/,"Journalist/editor cites pay data; pitch the Australian Pay Report 2026 tables (citable, CSV, cite-this box)",A
interest.co.nz,391,news/media citation,1,paycalculator.com.au,https://www.interest.co.nz/personal-finance/117501/workers-are-low-hanging-fruit-tax-world-nz-should-broaden-our-diet,"All hail the worker piñata, just give us a whack for more tax | interest.co.nz",https://paycalculator.com.au/,https://paycalculator.com.au/,yes,0,/australian-pay-report-2026/,NZ outlet compares AU tax take; pitch the 2025-26 vs 2026-27 take-home table for trans-Tasman comparisons,A
macrobusiness.com.au,361,news/media citation,1,paycalculator.com.au,https://www.macrobusiness.com.au/2023/05/matt-barrie-tears-albos-immigration-ponzi-to-pieces/,"Matt Barrie tears Albo's immigration ""ponzi"" to pieces - MacroBusiness",https://paycalculator.com.au/,$863 per week after tax,no,25,/australian-pay-report-2026/,Cites after-tax weekly figures; pitch minimum vs median vs average take-home table,A
comparethemarket.com.au,335,news/media citation,1,paycalculator.com.au,https://www.comparethemarket.com.au/news/how-paying-off-a-degree-could-make-it-harder-to-buy-a-home/,How paying off a degree could make it harder to buy a home | Compare the Market,https://paycalculator.com.au/student-loan/,https://paycalculator.com.au/student-loan/,yes,0,/hecs-help-calculator/,Article on HECS vs home buying links a student-loan calculator; pitch our HECS calculator + report take-home deltas,A
nucleuswealth.com,330,finance/accounting blog,1,paycalculator.com.au,https://nucleuswealth.com/blog/how-to-make-pre-tax-concessional-contributions-after-tax-non-concessional-contributions-to-super-including-catch-up-contributions,Save on Tax: How to Make Concessional Contributions to Super,https://paycalculator.com.au/,calculator here,yes,0,/concessional-contributions-cap/,Article links a pay calculator in context; suggest /concessional-contributions-cap/ as an up-to-date 2026-27 alternative/additional source,A
smile.com.au,326,HR/payroll software,1,fairworkmate.com.au,https://www.smile.com.au/enterprise/dental-cover/article/absenteeism-vs-presenteeism,Presenteeism vs Absenteeism: Which Costs Employers More?,https://fairworkmate.com.au/blog/casual-employee-sick-leave-rights?utm_source=chatgpt.com,Link,yes,0,/leave-calculator/,Relevant page linking a competitor; pitch best-fit asset,A
nextclinic.com.au,320,HR/payroll software,1,fairworkmate.com.au,https://nextclinic.com.au/blog/worried-about-fake-sick-notes-the-real-facts,Worried About Fake Sick Notes? The Real Facts,https://fairworkmate.com.au/blog/medical-certificate-one-day-sick,Do I Need a Medical Certificate for 1 Day Off Sick? (Australia) | FairWork Mate,yes,0,/leave-calculator/,Sick-note article cites sick leave rules; pitch leave calculator,A
