Top pages,Clicks,Impressions,CTR,Position
https://pay-calculator-australia.com/bonus-tax-calculator/,3107,28023,11.09%,3.69
https://pay-calculator-australia.com/fortnightly-pay-calculator/,455,53540,0.85%,5.41
https://pay-calculator-australia.com/junior-pay-rates/,402,92983,0.43%,6.23
https://pay-calculator-australia.com/hourly-to-annual-salary-calculator/,394,66439,0.59%,6.64
https://pay-calculator-australia.com/teacher-pay-australia/qld/,313,18202,1.72%,7.29
https://pay-calculator-australia.com/second-job-tax-calculator/,260,6308,4.12%,6.56
https://pay-calculator-australia.com/public-service-pay-scales/vic/,200,19832,1.01%,6.78
https://pay-calculator-australia.com/backpay-calculator/,190,2037,9.33%,5.36
https://pay-calculator-australia.com/,189,28158,0.67%,7.67
https://pay-calculator-australia.com/public-service-pay-scales/aps/,187,11072,1.69%,7.13
https://pay-calculator-australia.com/pay-rise-calculator/,175,12513,1.4%,5.22
https://pay-calculator-australia.com/weekly-pay-calculator/,169,34953,0.48%,5.73
https://pay-calculator-australia.com/salary-to-hourly/80000/,149,10936,1.36%,3.8
https://pay-calculator-australia.com/public-service-pay-scales/qld/,136,6231,2.18%,7.28
https://pay-calculator-australia.com/hospitality-award-rates/,99,14619,0.68%,7.89
https://pay-calculator-australia.com/contractor-pay-calculator/,91,6478,1.4%,8.57
https://pay-calculator-australia.com/hecs-help-calculator/,90,11099,0.81%,6.37
https://pay-calculator-australia.com/gross-pay-calculator/,83,14534,0.57%,8.48
https://pay-calculator-australia.com/salary-to-hourly/100000/,82,4694,1.75%,3.22
https://pay-calculator-australia.com/public-service-pay-scales/,77,10976,0.7%,7.38
https://pay-calculator-australia.com/mining-fifo-pay-guide/,74,9825,0.75%,8.15
https://pay-calculator-australia.com/retail-award-rates/,73,10628,0.69%,6.5
https://pay-calculator-australia.com/salary-to-hourly/75000/,73,5340,1.37%,3.3
https://pay-calculator-australia.com/redundancy-pay-calculator/,68,6519,1.04%,7.33
https://pay-calculator-australia.com/minimum-wage-history-australia/,65,3335,1.95%,9.95
https://pay-calculator-australia.com/overtime-pay-calculator/,64,6065,1.06%,9.12
https://pay-calculator-australia.com/employment-type-calculator/,62,4119,1.51%,7.59
https://pay-calculator-australia.com/schads-award-pay-rates/,60,6224,0.96%,9.77
https://pay-calculator-australia.com/salary-to-hourly/60000/,51,5334,0.96%,3.97
https://pay-calculator-australia.com/salary-to-hourly/110000/,51,3147,1.62%,3.86
