url,cluster,contextual_inlinks,body_inlinks,all_inlinks_incl_nav,contextual_outlinks,distinct_anchors
/,core,161,161,851,64,15
/_not-found/,core,0,0,0,5,0
/about/,core,0,0,851,4,0
/adf-pay-scales/,adf,4,4,851,9,2
/adf-pay-scales/air-force/,adf,3,3,4,9,2
/adf-pay-scales/army/,adf,3,3,4,9,2
/adf-pay-scales/navy/,adf,3,3,4,9,2
/age-pension-income-test-calculator/,centrelink,20,16,851,12,5
/aged-care-award-rates/,awards,17,17,851,29,7
/annual-leave-guide/,core,5,2,851,12,4
/annual-pay-calculator/,core,5,5,6,15,3
/australian-pay-report-2026/,core,16,1,851,46,4
/austudy-youth-allowance-calculator/,centrelink,17,8,851,9,7
/average-salary-australia/,core,152,151,851,39,4
/award-rates/,awards,393,353,851,25,18
/backpay-calculator/,core,24,24,851,8,4
/bonus-tax-calculator/,core,10,10,851,14,8
/capital-gains-tax-calculator/,core,9,1,10,7,2
/carer-allowance/,centrelink,7,7,8,14,1
/carer-payment-calculator/,centrelink,8,8,9,13,2
/casual-loading-calculator/,core,180,13,851,14,3
/centrelink-advance-payment/,centrelink,7,7,8,13,4
/centrelink-crisis-payment/,centrelink,7,7,8,13,1
/centrelink-debt/,centrelink,7,7,851,13,1
/centrelink-income-test/,centrelink,22,22,851,21,5
/centrelink-working-credit-calculator/,centrelink,14,0,851,9,1
/cents-per-km/,core,3,2,851,16,5
/cleaning-award-rates/,awards,17,17,18,25,7
/clerks-award-rates/,awards,22,22,851,29,6
/commission-tax-calculator/,core,5,3,6,10,2
/concessional-contributions-cap/,core,4,3,851,9,5
/construction-trades-pay/,core,5,5,851,6,2
/contact/,core,1,1,851,4,1
/contractor-pay-calculator/,core,12,8,851,10,4
/contractor-vs-employee-calculator/,core,20,17,851,13,14
/cost-of-living-payment-2026/,centrelink,7,7,8,14,1
/division-293-tax/,core,7,7,851,7,3
/embed/,core,1,1,851,4,2
/embed/take-home-pay/,core,0,0,0,1,0
/employee-vs-sole-trader-vs-company/,core,3,3,4,6,2
/employer-cost-calculator/,core,34,27,851,11,5
/employment-type-calculator/,core,6,6,851,10,4
/enterprise-agreement/,core,50,2,851,15,4
/extra-super-vs-hecs-repayment/,core,6,2,7,6,4
/family-tax-benefit-calculator/,centrelink,7,7,851,10,3
/fast-food-award-rates/,awards,29,20,851,25,10
/final-pay-calculator/,core,27,25,28,8,5
/first-job-pay-guide/,core,6,4,851,9,3
/fortnightly-pay-calculator/,core,171,30,851,12,10
/fortnightly-tax-table/,core,11,11,851,14,11
/fringe-benefits-tax/,core,6,6,851,12,6
/full-time-vs-part-time-vs-casual/,core,5,4,851,9,3
/gig-economy-pay-guide/,core,6,1,851,8,2
/gross-pay-calculator/,core,14,14,851,13,5
/gross-vs-net-pay/,core,6,3,851,19,2
/hair-and-beauty-award-rates/,awards,17,17,18,26,6
/healthcare-worker-pay/,nurse,22,21,851,23,5
/healthcare-worker-pay/nsw/,nurse,11,11,851,35,9
/healthcare-worker-pay/qld/,nurse,11,11,851,38,9
/healthcare-worker-pay/sa/,nurse,11,11,851,37,9
/healthcare-worker-pay/tas/,nurse,11,11,851,38,9
/healthcare-worker-pay/vic/,nurse,11,11,851,35,9
/healthcare-worker-pay/wa/,nurse,11,11,851,34,9
/hecs-help-calculator/,core,190,190,851,9,25
/hospitality-award-rates/,awards,44,44,851,32,15
/hourly-to-annual-salary-calculator/,core,318,318,851,180,13
/hourly-to-salary/100/,hourly-to-salary,4,4,5,16,2
/hourly-to-salary/20-5/,hourly-to-salary,5,5,6,16,1
/hourly-to-salary/20/,hourly-to-salary,4,4,5,16,2
/hourly-to-salary/21-5/,hourly-to-salary,7,7,8,16,1
/hourly-to-salary/21/,hourly-to-salary,6,6,7,16,1
/hourly-to-salary/22-5/,hourly-to-salary,9,9,10,16,1
/hourly-to-salary/22/,hourly-to-salary,8,8,9,16,1
/hourly-to-salary/23-5/,hourly-to-salary,6,6,7,16,1
/hourly-to-salary/23/,hourly-to-salary,9,9,10,16,1
/hourly-to-salary/24-5/,hourly-to-salary,7,7,8,16,1
/hourly-to-salary/24-95/,hourly-to-salary,7,7,8,17,1
/hourly-to-salary/24/,hourly-to-salary,7,7,8,16,1
/hourly-to-salary/25-5/,hourly-to-salary,6,6,7,16,1
/hourly-to-salary/25-74/,hourly-to-salary,11,11,12,17,4
/hourly-to-salary/25/,hourly-to-salary,7,7,851,16,2
/hourly-to-salary/26-44/,hourly-to-salary,10,10,11,18,3
/hourly-to-salary/26-5/,hourly-to-salary,6,6,7,16,1
/hourly-to-salary/26/,hourly-to-salary,7,7,8,16,1
/hourly-to-salary/27-08/,hourly-to-salary,11,11,12,17,4
/hourly-to-salary/27-28/,hourly-to-salary,8,8,9,17,1
