url,cluster,contextual_inlinks,body_inlinks,all_inlinks_incl_nav,contextual_outlinks,distinct_anchors
/,core,155,155,849,64,14
/_not-found/,core,0,0,0,5,0
/about/,core,0,0,849,4,0
/adf-pay-scales/,adf,4,4,5,9,2
/adf-pay-scales/air-force/,adf,3,3,4,9,2
/adf-pay-scales/army/,adf,3,3,4,9,2
/adf-pay-scales/navy/,adf,3,3,4,9,2
/age-pension-income-test-calculator/,centrelink,20,16,849,9,4
/aged-care-award-rates/,awards,16,16,849,27,7
/annual-leave-guide/,core,2,2,849,11,2
/annual-pay-calculator/,core,4,4,849,14,2
/austudy-youth-allowance-calculator/,centrelink,15,8,849,8,7
/average-salary-australia/,core,150,150,849,40,2
/award-rates/,awards,360,352,849,24,18
/backpay-calculator/,core,24,24,849,8,3
/bonus-tax-calculator/,core,10,10,849,14,8
/capital-gains-tax-calculator/,core,1,1,849,5,1
/carer-allowance/,centrelink,7,7,8,14,1
/carer-payment-calculator/,centrelink,8,8,9,14,2
/casual-loading-calculator/,core,13,13,14,14,1
/centrelink-advance-payment/,centrelink,7,7,8,12,4
/centrelink-crisis-payment/,centrelink,7,7,8,12,1
/centrelink-debt/,centrelink,7,7,8,12,1
/centrelink-income-test/,centrelink,23,22,849,20,4
/centrelink-working-credit-calculator/,centrelink,0,0,1,8,0
/cents-per-km/,core,2,2,3,18,3
/cleaning-award-rates/,awards,16,16,849,23,6
/clerks-award-rates/,awards,21,21,849,25,6
/commission-tax-calculator/,core,5,3,849,10,2
/concessional-contributions-cap/,core,3,3,849,9,4
/construction-trades-pay/,core,5,5,849,6,2
/contact/,core,1,1,849,4,1
/contractor-pay-calculator/,core,12,8,849,9,4
/contractor-vs-employee-calculator/,core,20,17,849,12,14
/cost-of-living-payment-2026/,centrelink,7,7,8,15,1
/division-293-tax/,core,7,7,849,6,3
/employee-vs-sole-trader-vs-company/,core,3,3,849,7,2
/employer-cost-calculator/,core,34,27,849,11,4
/employment-type-calculator/,core,6,6,849,10,4
/enterprise-agreement/,core,2,2,3,17,3
/extra-super-vs-hecs-repayment/,core,6,2,849,6,4
/family-tax-benefit-calculator/,centrelink,7,7,8,11,3
/fast-food-award-rates/,awards,19,19,849,22,7
/final-pay-calculator/,core,27,25,849,7,4
/first-job-pay-guide/,core,4,4,849,9,2
/fortnightly-pay-calculator/,core,27,27,849,11,9
/fortnightly-tax-table/,core,11,11,849,13,9
/fringe-benefits-tax/,core,6,6,849,12,6
/full-time-vs-part-time-vs-casual/,core,4,4,849,9,2
/gig-economy-pay-guide/,core,1,1,849,8,1
/gross-pay-calculator/,core,14,14,849,10,4
/gross-vs-net-pay/,core,3,3,4,20,1
/hair-and-beauty-award-rates/,awards,16,16,849,25,6
/healthcare-worker-pay/,nurse,20,20,849,23,3
/healthcare-worker-pay/nsw/,nurse,10,10,11,35,9
/healthcare-worker-pay/qld/,nurse,10,10,11,38,9
/healthcare-worker-pay/sa/,nurse,10,10,11,37,9
/healthcare-worker-pay/tas/,nurse,10,10,11,38,9
/healthcare-worker-pay/vic/,nurse,10,10,11,35,9
/healthcare-worker-pay/wa/,nurse,10,10,11,34,9
/hecs-help-calculator/,core,190,190,849,9,25
/hospitality-award-rates/,awards,45,43,849,29,15
/hourly-to-annual-salary-calculator/,core,317,317,849,180,12
/hourly-to-salary/100/,hourly-to-salary,4,4,5,14,2
/hourly-to-salary/20-5/,hourly-to-salary,5,5,6,14,1
/hourly-to-salary/20/,hourly-to-salary,4,4,5,14,2
/hourly-to-salary/21-5/,hourly-to-salary,7,7,8,14,1
/hourly-to-salary/21/,hourly-to-salary,6,6,7,14,1
/hourly-to-salary/22-5/,hourly-to-salary,9,9,10,14,1
/hourly-to-salary/22/,hourly-to-salary,8,8,9,14,1
/hourly-to-salary/23-5/,hourly-to-salary,6,6,7,14,1
/hourly-to-salary/23/,hourly-to-salary,9,9,10,14,1
/hourly-to-salary/24-5/,hourly-to-salary,7,7,8,14,1
/hourly-to-salary/24-95/,hourly-to-salary,7,7,8,15,1
/hourly-to-salary/24/,hourly-to-salary,7,7,8,14,1
/hourly-to-salary/25-5/,hourly-to-salary,6,6,7,14,1
/hourly-to-salary/25-74/,hourly-to-salary,11,11,12,15,4
/hourly-to-salary/25/,hourly-to-salary,7,7,8,14,2
/hourly-to-salary/26-44/,hourly-to-salary,10,10,11,16,3
/hourly-to-salary/26-5/,hourly-to-salary,6,6,7,14,1
/hourly-to-salary/26/,hourly-to-salary,7,7,8,14,1
/hourly-to-salary/27-08/,hourly-to-salary,11,11,12,15,4
/hourly-to-salary/27-28/,hourly-to-salary,8,8,9,15,1
/hourly-to-salary/27-5/,hourly-to-salary,8,8,9,14,1
/hourly-to-salary/27-55/,hourly-to-salary,9,9,10,15,2
/hourly-to-salary/27-81/,hourly-to-salary,13,13,14,15,5
/hourly-to-salary/27-97/,hourly-to-salary,13,13,14,15,5
/hourly-to-salary/27/,hourly-to-salary,7,7,8,14,1
/hourly-to-salary/28-44/,hourly-to-salary,11,11,12,15,3
/hourly-to-salary/28-45/,hourly-to-salary,10,10,11,15,4
/hourly-to-salary/28-5/,hourly-to-salary,8,8,9,14,2
/hourly-to-salary/28-86/,hourly-to-salary,9,9,10,15,1
/hourly-to-salary/28-89/,hourly-to-salary,10,10,11,15,2
/hourly-to-salary/28/,hourly-to-salary,7,7,8,14,1
/hourly-to-salary/29-06/,hourly-to-salary,7,7,8,15,1
/hourly-to-salary/29-45/,hourly-to-salary,16,16,17,17,10
/hourly-to-salary/29-5/,hourly-to-salary,6,6,7,14,1
/hourly-to-salary/29/,hourly-to-salary,8,8,9,14,2
/hourly-to-salary/30-36/,hourly-to-salary,6,6,7,15,1
/hourly-to-salary/30-5/,hourly-to-salary,7,7,8,14,1
/hourly-to-salary/30-66/,hourly-to-salary,9,9,10,15,4
/hourly-to-salary/30/,hourly-to-salary,32,32,33,14,6
/hourly-to-salary/31-11/,hourly-to-salary,9,9,10,15,3
/hourly-to-salary/31-3/,hourly-to-salary,9,9,10,15,3
/hourly-to-salary/31-5/,hourly-to-salary,6,6,7,14,1
/hourly-to-salary/31/,hourly-to-salary,7,7,8,14,1
/hourly-to-salary/32-13/,hourly-to-salary,8,8,9,16,3
/hourly-to-salary/32-19/,hourly-to-salary,9,9,10,15,2
/hourly-to-salary/32-5/,hourly-to-salary,9,9,10,14,1
/hourly-to-salary/32-61/,hourly-to-salary,10,10,11,15,2
/hourly-to-salary/32-67/,hourly-to-salary,12,12,13,15,3
/hourly-to-salary/32-77/,hourly-to-salary,8,8,9,15,1
/hourly-to-salary/32/,hourly-to-salary,10,10,11,14,3
/hourly-to-salary/33-05/,hourly-to-salary,9,9,10,15,2
/hourly-to-salary/33-5/,hourly-to-salary,8,8,9,14,1
/hourly-to-salary/33-99/,hourly-to-salary,9,9,10,15,4
/hourly-to-salary/33/,hourly-to-salary,9,9,10,14,2
/hourly-to-salary/34-42/,hourly-to-salary,7,7,8,15,2
/hourly-to-salary/34-45/,hourly-to-salary,7,7,8,15,3
/hourly-to-salary/34-5/,hourly-to-salary,7,7,8,14,1
/hourly-to-salary/34/,hourly-to-salary,7,7,8,14,1
/hourly-to-salary/35-5/,hourly-to-salary,6,6,7,14,1
/hourly-to-salary/35-81/,hourly-to-salary,7,7,8,15,1
/hourly-to-salary/35/,hourly-to-salary,10,10,849,14,3
/hourly-to-salary/36-22/,hourly-to-salary,8,8,9,15,2
/hourly-to-salary/36-23/,hourly-to-salary,9,9,10,15,2
/hourly-to-salary/36-5/,hourly-to-salary,9,9,10,14,1
/hourly-to-salary/36/,hourly-to-salary,8,8,9,14,2
/hourly-to-salary/37-36/,hourly-to-salary,7,7,8,15,2
/hourly-to-salary/37-5/,hourly-to-salary,6,6,7,14,1
/hourly-to-salary/37-68/,hourly-to-salary,7,7,8,15,2
/hourly-to-salary/37/,hourly-to-salary,10,10,11,14,2
/hourly-to-salary/38-5/,hourly-to-salary,8,8,9,15,2
/hourly-to-salary/38/,hourly-to-salary,10,10,11,14,2
/hourly-to-salary/39-13/,hourly-to-salary,7,7,8,15,2
/hourly-to-salary/39-5/,hourly-to-salary,8,8,9,14,1
